pid,Name,Race,Team,rating,ELO Peak,href
Forsen,Sebastian Fors,Z,(Unknown/Retired),1887 pts,2026 pts,/tlpd/sc2-international/players/2176_Forsen
DuFFmAn,Ryan West,T,(Unknown/Retired),1881 pts,-,/tlpd/sc2-international/players/2466_DuFFmAn
Shield,Caleb Richards,T,GoSu,1878 pts,-,/tlpd/sc2-international/players/2203_Shield
Rookie,Rob Morris III,T,eMg,1877 pts,2050 pts,/tlpd/sc2-international/players/2522_Rookie
Rasowy,Dawid Wisniewski,T,ieS.,1877 pts,-,/tlpd/sc2-international/players/2003_Rasowy
Cast,Janne Toosi,T,(Unknown/Retired),1870 pts,-,/tlpd/sc2-international/players/1917_Cast
Hocus,,Z,TA,1868 pts,-,/tlpd/sc2-international/players/2548_Hocus
Lorys,Lorenzo Marzocchi,Z,TRI,1867 pts,-,/tlpd/sc2-international/players/2987_Lorys
Zeno,Lin Xinyu,T,GAMANIA,1846 pts,-,/tlpd/sc2-international/players/2977_Zeno
mouzLomo,Patrick van Rossum,T,mouz.,1844 pts,-,/tlpd/sc2-international/players/2668_mouzLomo
